;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFP-208;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
62;;HDAT[7];;;;;62;;;Passive;;3;;True;;True;;HDAT[7];;;0mm;;;
63;;HDAT[6];;;;;63;;;Passive;;3;;True;;True;;HDAT[6];;;0mm;;;
64;;VDDO;;;;;64;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
65;;HDAT[5];;;;;65;;;Passive;;3;;True;;True;;HDAT[5];;;0mm;;;
66;;HDAT[4];;;;;66;;;Passive;;3;;True;;True;;HDAT[4];;;0mm;;;
67;;HDAT[3];;;;;67;;;Passive;;3;;True;;True;;HDAT[3];;;0mm;;;
68;;HDAT[2];;;;;68;;;Passive;;3;;True;;True;;HDAT[2];;;0mm;;;
69;;HDAT[1];;;;;69;;;Passive;;3;;True;;True;;HDAT[1];;;0mm;;;
70;;VSS;;;;;70;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
71;;HDAT[0];;;;;71;;;Passive;;3;;True;;True;;HDAT[0];;;0mm;;;
72;;IRQ;;;;;72;;;Passive;;3;;True;;True;;IRQ;;;0mm;;;
73;;RSTB;;;;;73;;;Passive;;3;;True;;True;;RSTB;;;0mm;;;
74;;CLK54I;;;;;74;;;Passive;;3;;True;;True;;CLK54I;;;0mm;;;
75;;VSS;;;;;75;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
76;;DATA[31];;;;;76;;;Passive;;1;;True;;True;;DATA[31];;;0mm;;;
77;;DATA[30];;;;;77;;;Passive;;1;;True;;True;;DATA[30];;;0mm;;;
78;;DATA[29];;;;;78;;;Passive;;1;;True;;True;;DATA[29];;;0mm;;;
79;;DATA[28];;;;;79;;;Passive;;1;;True;;True;;DATA[28];;;0mm;;;
80;;DATA[27];;;;;80;;;Passive;;1;;True;;True;;DATA[27];;;0mm;;;
81;;VSS;;;;;81;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
82;;DATA[26];;;;;82;;;Passive;;1;;True;;True;;DATA[26];;;0mm;;;
83;;DATA[25];;;;;83;;;Passive;;1;;True;;True;;DATA[25];;;0mm;;;
84;;DATA[24];;;;;84;;;Passive;;1;;True;;True;;DATA[24];;;0mm;;;
85;;DATA[23];;;;;85;;;Passive;;1;;True;;True;;DATA[23];;;0mm;;;
86;;DATA[22];;;;;86;;;Passive;;1;;True;;True;;DATA[22];;;0mm;;;
87;;VSS;;;;;87;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
88;;DATA[21];;;;;88;;;Passive;;1;;True;;True;;DATA[21];;;0mm;;;
89;;DATA[20];;;;;89;;;Passive;;1;;True;;True;;DATA[20];;;0mm;;;
90;;DATA[19];;;;;90;;;Passive;;1;;True;;True;;DATA[19];;;0mm;;;
91;;DATA[18];;;;;91;;;Passive;;1;;True;;True;;DATA[18];;;0mm;;;
92;;DATA[17];;;;;92;;;Passive;;1;;True;;True;;DATA[17];;;0mm;;;
93;;VDDO;;;;;93;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
94;;DATA[16];;;;;94;;;Passive;;1;;True;;True;;DATA[16];;;0mm;;;
95;;ADDR[10];;;;;95;;;Passive;;1;;True;;True;;ADDR[10];;;0mm;;;
96;;ADDR[9];;;;;96;;;Passive;;1;;True;;True;;ADDR[9];;;0mm;;;
97;;ADDR[8];;;;;97;;;Passive;;1;;True;;True;;ADDR[8];;;0mm;;;
